stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
BUS209,BUS209,Elmwood Ave & Underwood St (SE Corner): BUS209,Elmwood Ave & Underwood St (SE Corner) - BUS209,40.4377901815051,-86.8621290839987,0,0
BUS830,BUS830,27th St & Underwood St (South of): BUS830,27th St & Underwood St (South of) - BUS830,40.4377311729033,-86.8661751965389,0,0
BUS281,BUS281,Elmwood Ave & Vinton: BUS281,,40.434413,-86.86357,0,0
BUS835,BUS835,Market Square Shopping Center: BUS835,Market Square Shopping Center - BUS835,40.4307,-86.8707,0,0
BUS837NE,BUS837NE,Northend Community Center: BUS837NE,Northend Community Center - BUS837NE,40.4281771438228,-86.8740756436631,0,0
BUS838,BUS838,Speedway on Elmwood Ave (NE Corner): BUS838,Speedway on Elmwood Ave (NE Corner) - BUS838,40.4270291582959,-86.8763528392525,0,0
BUS839,BUS839,18th St & Salem St: BUS839,18th St & Salem St - BUS839,40.425894583815,-86.8774082885628,0,0
BUS840,BUS840,Grants House: BUS840,Grants House - BUS840,40.425625,-86.88058,0,0
BUS842,BUS842,Village Pantry on Salem St: BUS842,Village Pantry on Salem St - BUS842,40.4257966831801,-86.8824427951838,0,0
BUS843,BUS843,Salem St & 11th St (NE Corner): BUS843,Salem St & 11th St (NE Corner) - BUS843,40.4257725432976,-86.8844544520649,0,0
BUS380NE,BUS380NE,Salem St & 9th St (NE Corner): BUS380NE,Salem St & 9th St (NE Corner) - BUS380NE,40.4257631555654,-86.8868308893937,0,0
BUS845,BUS845,Salem St & 7th (NE Corner): BUS845,Salem St & 7th (NE Corner) - BUS845,40.425741697892,-86.8894165390382,0,0
BUS519E,BUS519E,Salem St & Fannon (NE Corner): BUS519E,Salem St & Fannon (NE Corner) - BUS519E,40.4257403567875,-86.8912203247082,0,0
BUS215,BUS215,CityBus Center: BUS215,CityBus Center - BUS215,40.4207112145848,-86.8948077794795,0,0
