route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
2B,bd1f023b-1854-4288-a132-97ae9b736bc2,bfcf5af8-0d57-43d2-9083-7f3839bda2b5,fea2c57d-9abb-475a-8121-196bf716857e,to CityBus Center,1,6a7f4c43-2be8-4adc-86f7-3ca03a7d2481
6B,2cb2254e-620a-457f-a13c-efe2c7e97d43,afa4ed84-996b-4128-8dfb-76df2a70e0f7,2310bef0-6b01-4c83-ad86-fc1941919590,to CityBus Center,0,297e500c-5e98-4160-87d5-09640a624e75
2A,bd1f023b-1854-4288-a132-97ae9b736bc2,3dd65d2c-016c-4e5e-9abd-52ab602db19a,d4a536bd-c78c-4eb1-b23d-a3dfeea9ee8b,to CityBus Center,0,6a7f4c43-2be8-4adc-86f7-3ca03a7d2481
4A,bd1f023b-1854-4288-a132-97ae9b736bc2,30c841d0-87c8-4e4e-a532-299e0fc8bb93,fbc5cd1c-6db6-485f-8305-5acfa94e003b,to Tippecanoe Mall,0,b3091ef3-e686-4e0d-acee-714ffdacd4cb
15,fa343618-f0c9-4323-ab20-867cd279d1dc,18762946-0beb-47f0-880a-063e51b094d4,75531d05-f1a5-464f-a991-9cee7f03c7f3,to Campus and PMU,1,6ae7f3ee-e9b8-4a95-9bdb-969d79dea4cb
8,0e1530cc-6e40-43b5-8e1d-43e0354129f4,c11047f6-1825-456c-9800-88736ead7eac,040b3860-47b8-45f4-adad-95093f61b074,to Klondike Rd and Rutherford Dr,0,c86d4267-4b62-4efb-b8e1-76712251a820
8,0b390844-9953-4b97-b90b-025406946a27,736b8fe3-c9ad-4d73-9970-c3722d231944,5997802e-5a89-48a8-8cab-5b19811c9705,to WL Walmart,1,8c4b8ea4-3b53-4fc7-a5c6-19cbc0a87abe
24,fa343618-f0c9-4323-ab20-867cd279d1dc,332ae85c-a571-4a74-b8a3-a60ea22f312f,17c09e80-b496-42cc-9ce2-11bc70d2c634,Express to Redpoint Apts,0,bca90e18-3876-4ffd-879b-c402280879cd
4A,bd1f023b-1854-4288-a132-97ae9b736bc2,15ff370e-d056-4b58-a33a-2514c1d3623c,fbc5cd1c-6db6-485f-8305-5acfa94e003b,to Tippecanoe Mall,0,b3091ef3-e686-4e0d-acee-714ffdacd4cb
6B,fa343618-f0c9-4323-ab20-867cd279d1dc,4abbd10f-5fbf-4168-b4f5-7a8f9d3b86a5,03e26e1c-6e00-499f-93b0-320dca7c832a,to Beck Ln,1,4355fe2f-109b-4c8f-84d2-853ed12d66ca
6A,fa343618-f0c9-4323-ab20-867cd279d1dc,42d57613-014b-47ff-8a36-22ff6477b600,9e37c709-da4d-47d3-8e02-117078544224,to CityBus Center,1,6308086e-9eff-4c3d-a28f-387ec077c59c
8,b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,b8c4e785-9954-454d-aefd-f06ae48abdf6,5997802e-5a89-48a8-8cab-5b19811c9705,to WL Walmart,1,20ce1349-217d-4541-ba0a-38675841ce91
4B,b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,5718448d-8316-405b-9ec1-93ea640ff96b,ece1d069-2f6b-4836-bae0-5196af09dbb8,to Campus & WL Walmart,0,af532945-540d-48c3-a341-b901377eaf7c
2A,bd1f023b-1854-4288-a132-97ae9b736bc2,35f60777-3b04-4fee-823b-84c2d96421bd,b24b0274-e323-4f43-98f3-f66a225b07c8,to Schuyler Ave,1,6a7f4c43-2be8-4adc-86f7-3ca03a7d2481
4A,2cb2254e-620a-457f-a13c-efe2c7e97d43,b5fc3630-c8fe-4e1f-8892-9ada4713767c,ed2b4b2e-07ca-4297-aab0-bfc74190b50f,to CityBus Center,1,a7a161ca-daa3-478c-a4f8-02b9db5d0d73
4A,fa343618-f0c9-4323-ab20-867cd279d1dc,20c40948-00b9-4747-9d16-b37e2e1b2804,ed2b4b2e-07ca-4297-aab0-bfc74190b50f,to CityBus Center,1,d22da70e-8028-4268-b273-f3d12b8d104b
2A,fa343618-f0c9-4323-ab20-867cd279d1dc,60b852e2-fcc4-4330-a4a6-6ec68491d8d3,d4a536bd-c78c-4eb1-b23d-a3dfeea9ee8b,to CityBus Center,0,f50df665-a351-4fe5-81b2-ba1d6528eb63
2A,fa343618-f0c9-4323-ab20-867cd279d1dc,0331a06b-beec-4198-abba-09176d59c56b,b24b0274-e323-4f43-98f3-f66a225b07c8,to Schuyler Ave,1,f50df665-a351-4fe5-81b2-ba1d6528eb63
7,fa343618-f0c9-4323-ab20-867cd279d1dc,f5e640b0-3133-421b-b8c1-55dd89be8d77,6c7d5bfc-2ad6-4f97-93ae-3c95c97bc7d5,to CityBus Center,0,85b2684d-f7c6-4595-9b6f-51a4ec095b19
6A,2cb2254e-620a-457f-a13c-efe2c7e97d43,7323394e-087d-40ee-9f66-a19b0f2254f8,a3c93b9d-3771-4795-a049-5c9e1ad68274,to Veterans Memorial Pkwy S / Walmart,0,d61b3bcf-eb3a-4b98-8547-6029d5f33af7
5,fa343618-f0c9-4323-ab20-867cd279d1dc,d8a9b6bf-0e29-4a72-9789-8ae235eae951,23b25f4b-07dc-4760-8447-40c9c89fdef1,to Purdue Campus and PMU,1,1606220d-63e5-45cf-8424-cdad41892b4e
10,0e1530cc-6e40-43b5-8e1d-43e0354129f4,4b2dc585-a539-44c7-90e3-fbf930da21db,3c068e88-548a-4008-91f4-00e5b6ca2718,to Shining Armor Ln,0,352d87c1-f560-4735-847a-259da816d46b
10,fa343618-f0c9-4323-ab20-867cd279d1dc,939981bb-2b3d-48c6-804a-a0f60e5c1f8a,ec57a9af-e26c-4f0c-b0f5-c8689c11b535,to Yeager Rd and Purdue,1,6ad158f9-de50-46a2-97de-270168d7d975
6B,fa343618-f0c9-4323-ab20-867cd279d1dc,c0d203db-d6cd-4ac5-b0e3-9f1d5a4ef7d5,03e26e1c-6e00-499f-93b0-320dca7c832a,to Beck Ln,1,6308086e-9eff-4c3d-a28f-387ec077c59c
21A,fa343618-f0c9-4323-ab20-867cd279d1dc,eb7fe23f-8cee-4025-9268-62b63b313ee5,b1b3e371-baf8-4755-bd95-54ae8ca9f957,Express to Purdue Campus,1,3317017f-9e1f-4ef7-9d24-870ff349be41
6A,0b390844-9953-4b97-b90b-025406946a27,a67a9159-9524-4d04-9bf7-2746ab0e8dc5,8ef0cf95-edd8-4baa-a2a0-c53418be348b,to CityBus Center,1,2b8e9286-6c9a-4ec3-9999-5b444b4c8385
